filename,binary_name,primary_path,categories,mitre_ids,risk,description
rvim,rvim,/usr/bin/rvim,file-read|inherit,T1005|T1059,medium,GTFOBins: rvim can be used for file-read; inherit
sash,sash,/usr/bin/sash,shell,T1059,medium,GTFOBins: sash can be used for shell
scanmem,scanmem,/usr/bin/scanmem,shell,T1059,medium,GTFOBins: scanmem can be used for shell
scp,scp,/usr/bin/scp,download|shell|upload,T1048|T1059|T1105,medium,GTFOBins: scp can be used for download; shell; upload
screen,screen,/usr/bin/screen,file-write|shell,T1059|T1565.001,medium,GTFOBins: screen can be used for file-write; shell
script,script,/usr/bin/script,file-write|shell,T1059|T1565.001,medium,GTFOBins: script can be used for file-write; shell
scrot,scrot,/usr/bin/scrot,shell,T1059,medium,GTFOBins: scrot can be used for shell
sed,sed,/usr/bin/sed,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: sed can be used for file-read; file-write; shell
service,service,/usr/bin/service,shell,T1059,medium,GTFOBins: service can be used for shell
setarch,setarch,/usr/bin/setarch,shell,T1059,medium,GTFOBins: setarch can be used for shell
setcap,setcap,/usr/bin/setcap,privilege-escalation,T1548,high,GTFOBins: setcap can be used for privilege-escalation
setfacl,setfacl,/usr/bin/setfacl,privilege-escalation,T1548,high,GTFOBins: setfacl can be used for privilege-escalation
setlock,setlock,/usr/bin/setlock,shell,T1059,medium,GTFOBins: setlock can be used for shell
sftp,sftp,/usr/bin/sftp,download|shell|upload,T1048|T1059|T1105,medium,GTFOBins: sftp can be used for download; shell; upload
sg,sg,/usr/bin/sg,shell,T1059,medium,GTFOBins: sg can be used for shell
shred,shred,/usr/bin/shred,file-write,T1565.001,medium,GTFOBins: shred can be used for file-write
shuf,shuf,/usr/bin/shuf,file-read|file-write,T1005|T1565.001,medium,GTFOBins: shuf can be used for file-read; file-write
slsh,slsh,/usr/bin/slsh,shell,T1059,medium,GTFOBins: slsh can be used for shell
smbclient,smbclient,/usr/bin/smbclient,download|shell|upload,T1048|T1059|T1105,medium,GTFOBins: smbclient can be used for download; shell; upload
snap,snap,/usr/bin/snap,command,T1059,medium,GTFOBins: snap can be used for command
socat,socat,/usr/bin/socat,bind-shell|download|file-read|file-write|reverse-shell|shell|upload,T1005|T1048|T1059|T1105|T1565.001,high,GTFOBins: socat can be used for bind-shell; download; file-read; file-write; reverse-shell; shell; upload
socket,socket,/usr/bin/socket,bind-shell|reverse-shell,T1059,high,GTFOBins: socket can be used for bind-shell; reverse-shell
soelim,soelim,/usr/bin/soelim,file-read,T1005,low,GTFOBins: soelim can be used for file-read
softlimit,softlimit,/usr/bin/softlimit,shell,T1059,medium,GTFOBins: softlimit can be used for shell
sort,sort,/usr/bin/sort,file-read|file-write,T1005|T1565.001,medium,GTFOBins: sort can be used for file-read; file-write
split,split,/usr/bin/split,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: split can be used for file-read; file-write; shell
sqlite3,sqlite3,/usr/bin/sqlite3,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: sqlite3 can be used for file-read; file-write; shell
sqlmap,sqlmap,/usr/bin/sqlmap,inherit,T1059,medium,GTFOBins: sqlmap can be used for inherit
ss,ss,/usr/bin/ss,file-read,T1005,low,GTFOBins: ss can be used for file-read
ssh,ssh,/usr/bin/ssh,download|file-read|shell|upload,T1005|T1048|T1059|T1105,medium,GTFOBins: ssh can be used for download; file-read; shell; upload
ssh-agent,ssh-agent,/usr/bin/ssh-agent,shell,T1059,medium,GTFOBins: ssh-agent can be used for shell
ssh-copy-id,ssh-copy-id,/usr/bin/ssh-copy-id,file-read|file-write,T1005|T1565.001,medium,GTFOBins: ssh-copy-id can be used for file-read; file-write
ssh-keygen,ssh-keygen,/usr/bin/ssh-keygen,library-load,T1574.006,high,GTFOBins: ssh-keygen can be used for library-load
ssh-keyscan,ssh-keyscan,/usr/bin/ssh-keyscan,file-read,T1005,low,GTFOBins: ssh-keyscan can be used for file-read
sshfs,sshfs,/usr/bin/sshfs,command|download|shell|upload,T1048|T1059|T1105,medium,GTFOBins: sshfs can be used for command; download; shell; upload
sshpass,sshpass,/usr/bin/sshpass,shell,T1059,medium,GTFOBins: sshpass can be used for shell
sshuttle,sshuttle,/usr/bin/sshuttle,shell,T1059,medium,GTFOBins: sshuttle can be used for shell
start-stop-daemon,start-stop-daemon,/usr/bin/start-stop-daemon,shell,T1059,medium,GTFOBins: start-stop-daemon can be used for shell
stdbuf,stdbuf,/usr/bin/stdbuf,shell,T1059,medium,GTFOBins: stdbuf can be used for shell
strace,strace,/usr/bin/strace,file-write|shell,T1059|T1565.001,medium,GTFOBins: strace can be used for file-write; shell
strings,strings,/usr/bin/strings,file-read,T1005,low,GTFOBins: strings can be used for file-read
su,su,/usr/bin/su,shell,T1059,medium,GTFOBins: su can be used for shell
sudo,sudo,/usr/bin/sudo,shell,T1059,medium,GTFOBins: sudo can be used for shell
